Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
17.15,10.663,0.022,,,,,,,,,,,,,,,,,
17.2,10.735,0.019,,,,,,,,,,,,,,,,,
17.25,10.725,0.019,,,,,,,,,,,,,,,,,
17.3,10.685,0.019,,,,,,,,,,,,,,,,,
17.35,10.656,0.016,,,,,,,,,,,,,,,,,
17.4,10.641,0.016,,,,,,,,,,,,,,,,,
17.45,10.634,0.009,,,,,,,,,,,,,,,,,
17.5,10.641,0.006,,,,,,,,,,,,,,,,,
17.55,10.653,0.003,,,,,,,,,,,,,,,,,
17.6,10.678,-0.003,,,,,,,,,,,,,,,,,
17.65,10.71,-0.013,,,,,,,,,,,,,,,,,
17.7,10.747,-0.022,,,,,,,,,,,,,,,,,
17.75,10.716,-0.035,,,,,,,,,,,,,,,,,
17.8,10.681,-0.053,,,,,,,,,,,,,,,,,
17.85,10.641,-0.079,,,,,,,,,,,,,,,,,
17.9,10.603,-0.11,,,,,,,,,,,,,,,,,
17.95,10.565,-0.145,,,,,,,,,,,,,,,,,
18,10.531,-0.185,,,,,,,,,,,,,,,,,
18.05,10.499,-0.226,,,,,,,,,,,,,,,,,
18.1,10.471,-0.27,,,,,,,,,,,,,,,,,
18.15,10.446,-0.314,,,,,,,,,,,,,,,,,
18.2,10.424,-0.358,,,,,,,,,,,,,,,,,
18.25,10.405,-0.402,,,,,,,,,,,,,,,,,
18.3,10.386,-0.443,,,,,,,,,,,,,,,,,
18.35,10.374,-0.484,,,,,,,,,,,,,,,,,
18.4,10.361,-0.522,,,,,,,,,,,,,,,,,
18.45,10.348,-0.553,,,,,,,,,,,,,,,,,
18.5,10.336,-0.581,,,,,,,,,,,,,,,,,
18.55,10.326,-0.609,,,,,,,,,,,,,,,,,
18.6,10.314,-0.631,,,,,,,,,,,,,,,,,
18.65,10.304,-0.65,,,,,,,,,,,,,,,,,
18.7,10.301,-0.663,,,,,,,,,,,,,,,,,
18.75,10.298,-0.669,,,,,,,,,,,,,,,,,
18.8,10.298,-0.672,,,,,,,,,,,,,,,,,
18.85,10.298,-0.666,,,,,,,,,,,,,,,,,
18.9,10.295,-0.653,,,,,,,,,,,,,,,,,
18.95,10.289,-0.635,,,,,,,,,,,,,,,,,
19,10.279,-0.613,,,,,,,,,,,,,,,,,
19.05,10.264,-0.591,,,,,,,,,,,,,,,,,
19.1,10.242,-0.562,,,,,,,,,,,,,,,,,
19.15,10.21,-0.537,,,,,,,,,,,,,,,,,
19.2,10.172,-0.515,,,,,,,,,,,,,,,,,
19.25,10.125,-0.496,,,,,,,,,,,,,,,,,
19.3,10.069,-0.487,,,,,,,,,,,,,,,,,
19.35,10.006,-0.487,,,,,,,,,,,,,,,,,
19.4,9.937,-0.496,,,,,,,,,,,,,,,,,
19.45,9.868,-0.522,,,,,,,,,,,,,,,,,
19.5,9.795,-0.559,,,,,,,,,,,,,,,,,
19.55,9.723,-0.606,,,,,,,,,,,,,,,,,
19.6,9.657,-0.663,,,,,,,,,,,,,,,,,
19.65,9.591,-0.732,,,,,,,,,,,,,,,,,
19.7,9.535,-0.801,,,,,,,,,,,,,,,,,
19.75,9.488,-0.88,,,,,,,,,,,,,,,,,
19.8,9.456,-0.958,,,,,,,,,,,,,,,,,
19.85,9.437,-1.034,,,,,,,,,,,,,,,,,
19.9,9.437,-1.103,,,,,,,,,,,,,,,,,
19.95,9.453,-1.162,,,,,,,,,,,,,,,,,
20,9.488,-1.21,,,,,,,,,,,,,,,,,
20.05,9.535,-1.241,,,,,,,,,,,,,,,,,
20.1,9.594,-1.25,,,,,,,,,,,,,,,,,
20.15,9.654,-1.241,,,,,,,,,,,,,,,,,
20.2,9.708,-1.21,,,,,,,,,,,,,,,,,
20.25,9.745,-1.162,,,,,,,,,,,,,,,,,
20.3,9.77,-1.103,,,,,,,,,,,,,,,,,
20.35,9.777,-1.034,,,,,,,,,,,,,,,,,
20.4,9.764,-0.961,,,,,,,,,,,,,,,,,
20.45,9.736,-0.889,,,,,,,,,,,,,,,,,
20.5,9.692,-0.82,,,,,,,,,,,,,,,,,
20.55,9.632,-0.757,,,,,,,,,,,,,,,,,
20.6,9.557,-0.707,,,,,,,,,,,,,,,,,
20.65,9.469,-0.669,,,,,,,,,,,,,,,,,
20.7,9.371,-0.647,,,,,,,,,,,,,,,,,
20.75,9.268,-0.644,,,,,,,,,,,,,,,,,
20.8,9.151,-0.657,,,,,,,,,,,,,,,,,
20.85,9.048,-0.691,,,,,,,,,,,,,,,,,
20.9,8.954,-0.735,,,,,,,,,,,,,,,,,
20.95,8.878,-0.792,,,,,,,,,,,,,,,,,
21,8.818,-0.858,,,,,,,,,,,,,,,,,
21.05,8.771,-0.93,,,,,,,,,,,,,,,,,
21.1,8.746,-1.002,,,,,,,,,,,,,,,,,
21.15,8.737,-1.071,,,,,,,,,,,,,,,,,
21.2,8.74,-1.134,,,,,,,,,,,,,,,,,
21.25,8.765,-1.184,,,,,,,,,,,,,,,,,
21.3,8.803,-1.219,,,,,,,,,,,,,,,,,
21.35,8.85,-1.238,,,,,,,,,,,,,,,,,
21.4,8.9,-1.238,,,,,,,,,,,,,,,,,
21.45,8.95,-1.216,,,,,,,,,,,,,,,,,
21.5,8.988,-1.178,,,,,,,,,,,,,,,,,
21.55,9.016,-1.125,,,,,,,,,,,,,,,,,
21.6,9.029,-1.062,,,,,,,,,,,,,,,,,
21.65,9.026,-0.996,,,,,,,,,,,,,,,,,
21.7,9.004,-0.924,,,,,,,,,,,,,,,,,
21.75,8.966,-0.855,,,,,,,,,,,,,,,,,
21.8,8.916,-0.792,,,,,,,,,,,,,,,,,
21.85,8.85,-0.735,,,,,,,,,,,,,,,,,
21.9,8.774,-0.694,,,,,,,,,,,,,,,,,
21.95,8.696,-0.666,,,,,,,,,,,,,,,,,
22,8.608,-0.653,,,,,,,,,,,,,,,,,
22.05,8.517,-0.657,,,,,,,,,,,,,,,,,
22.1,8.429,-0.682,,,,,,,,,,,,,,,,,
22.15,8.347,-0.719,,,,,,,,,,,,,,,,,
22.2,8.275,-0.77,,,,,,,,,,,,,,,,,
22.25,8.24,-0.826,,,,,,,,,,,,,,,,,
22.3,8.284,-0.892,,,,,,,,,,,,,,,,,
22.35,8.316,-0.961,,,,,,,,,,,,,,,,,
22.4,8.325,-1.03,,,,,,,,,,,,,,,,,
22.45,8.319,-1.093,,,,,,,,,,,,,,,,,
22.5,8.291,-1.147,,,,,,,,,,,,,,,,,
22.55,8.25,-1.181,,,,,,,,,,,,,,,,,
22.6,8.269,-1.203,,,,,,,,,,,,,,,,,
22.65,8.303,-1.206,,,,,,,,,,,,,,,,,
22.7,8.344,-1.188,,,,,,,,,,,,,,,,,
22.75,8.379,-1.153,,,,,,,,,,,,,,,,,
22.8,8.404,-1.1,,,,,,,,,,,,,,,,,
22.85,8.413,-1.04,,,,,,,,,,,,,,,,,
22.9,8.413,-0.971,,,,,,,,,,,,,,,,,
22.95,8.391,-0.902,,,,,,,,,,,,,,,,,
23,8.36,-0.833,,,,,,,,,,,,,,,,,
23.05,8.313,-0.77,,,,,,,,,,,,,,,,,
23.1,8.25,-0.71,,,,,,,,,,,,,,,,,
23.15,8.259,-0.666,,,,,,,,,,,,,,,,,
23.2,8.344,-0.638,,,,,,,,,,,,,,,,,
23.25,8.438,-0.622,,,,,,,,,,,,,,,,,
23.3,8.529,-0.625,,,,,,,,,,,,,,,,,
23.35,8.617,-0.644,,,,,,,,,,,,,,,,,
23.4,8.702,-0.679,,,,,,,,,,,,,,,,,
23.45,8.774,-0.726,,,,,,,,,,,,,,,,,
23.5,8.73,-0.782,,,,,,,,,,,,,,,,,
23.55,8.335,-0.845,,,,,,,,,,,,,,,,,
23.6,8.294,-0.911,,,,,,,,,,,,,,,,,
23.65,8.266,-0.977,,,,,,,,,,,,,,,,,
