Time,Position1,Position2,,,,,,,,,,,,,,,,,
16.1,0.2089,5.25E-04,,,,,,,,,,,,,,,,,
16.15,0.2111,5.25E-04,,,,,,,,,,,,,,,,,
16.2,0.2134,5.25E-04,,,,,,,,,,,,,,,,,
16.25,0.2155,5.25E-04,,,,,,,,,,,,,,,,,
16.3,0.2179,5.25E-04,,,,,,,,,,,,,,,,,
16.35,0.2201,5.25E-04,,,,,,,,,,,,,,,,,
16.4,0.2224,5.25E-04,,,,,,,,,,,,,,,,,
16.45,0.2246,5.25E-04,,,,,,,,,,,,,,,,,
16.5,0.2269,5.25E-04,,,,,,,,,,,,,,,,,
16.55,0.2292,5.25E-04,,,,,,,,,,,,,,,,,
16.6,0.2315,5.25E-04,,,,,,,,,,,,,,,,,
16.65,0.2338,5.25E-04,,,,,,,,,,,,,,,,,
16.7,0.2359,5.25E-04,,,,,,,,,,,,,,,,,
16.75,0.2379,5.25E-04,,,,,,,,,,,,,,,,,
16.8,0.2401,5.25E-04,,,,,,,,,,,,,,,,,
16.85,0.2421,5.25E-04,,,,,,,,,,,,,,,,,
16.9,0.2442,5.25E-04,,,,,,,,,,,,,,,,,
16.95,0.2464,5.25E-04,,,,,,,,,,,,,,,,,
17,0.2486,5.25E-04,,,,,,,,,,,,,,,,,
17.05,0.2507,5.25E-04,,,,,,,,,,,,,,,,,
17.1,0.2527,5.25E-04,,,,,,,,,,,,,,,,,
17.15,0.2545,5.25E-04,,,,,,,,,,,,,,,,,
17.2,0.2563,4.50E-04,,,,,,,,,,,,,,,,,
17.25,0.256,4.50E-04,,,,,,,,,,,,,,,,,
17.3,0.2551,4.50E-04,,,,,,,,,,,,,,,,,
17.35,0.2544,3.75E-04,,,,,,,,,,,,,,,,,
17.4,0.254,3.75E-04,,,,,,,,,,,,,,,,,
17.45,0.2539,2.25E-04,,,,,,,,,,,,,,,,,
17.5,0.254,1.50E-04,,,,,,,,,,,,,,,,,
17.55,0.2543,7.50E-05,,,,,,,,,,,,,,,,,
17.6,0.2549,-7.50E-05,,,,,,,,,,,,,,,,,
17.65,0.2557,-3.00E-04,,,,,,,,,,,,,,,,,
17.7,0.2566,-5.25E-04,,,,,,,,,,,,,,,,,
17.75,0.2558,-8.25E-04,,,,,,,,,,,,,,,,,
17.8,0.255,-0.0013,,,,,,,,,,,,,,,,,
17.85,0.254,-0.0019,,,,,,,,,,,,,,,,,
17.9,0.2531,-0.0026,,,,,,,,,,,,,,,,,
17.95,0.2522,-0.0034,,,,,,,,,,,,,,,,,
18,0.2514,-0.0044,,,,,,,,,,,,,,,,,
18.05,0.2506,-0.0054,,,,,,,,,,,,,,,,,
18.1,0.25,-0.0064,,,,,,,,,,,,,,,,,
18.15,0.2494,-0.0075,,,,,,,,,,,,,,,,,
18.2,0.2488,-0.0085,,,,,,,,,,,,,,,,,
18.25,0.2484,-0.0096,,,,,,,,,,,,,,,,,
18.3,0.2479,-0.0106,,,,,,,,,,,,,,,,,
18.35,0.2476,-0.0115,,,,,,,,,,,,,,,,,
18.4,0.2473,-0.0124,,,,,,,,,,,,,,,,,
18.45,0.247,-0.0132,,,,,,,,,,,,,,,,,
18.5,0.2467,-0.0139,,,,,,,,,,,,,,,,,
18.55,0.2465,-0.0145,,,,,,,,,,,,,,,,,
18.6,0.2462,-0.0151,,,,,,,,,,,,,,,,,
