Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
14.4,-6.959,0.289,,,,,,,,,,,,,,,,,
14.45,-6.999,0.289,,,,,,,,,,,,,,,,,
14.5,-7.04,0.283,,,,,,,,,,,,,,,,,
14.55,-7.078,0.276,,,,,,,,,,,,,,,,,
14.6,-7.113,0.264,,,,,,,,,,,,,,,,,
14.65,-7.144,0.251,,,,,,,,,,,,,,,,,
14.7,-7.172,0.239,,,,,,,,,,,,,,,,,
14.75,-7.197,0.223,,,,,,,,,,,,,,,,,
14.8,-7.216,0.207,,,,,,,,,,,,,,,,,
14.85,-7.232,0.198,,,,,,,,,,,,,,,,,
14.9,-7.245,0.188,,,,,,,,,,,,,,,,,
14.95,-7.254,0.182,,,,,,,,,,,,,,,,,
15,-7.263,0.182,,,,,,,,,,,,,,,,,
15.05,-7.273,0.185,,,,,,,,,,,,,,,,,
15.1,-7.282,0.192,,,,,,,,,,,,,,,,,
15.15,-7.295,0.204,,,,,,,,,,,,,,,,,
15.2,-7.314,0.217,,,,,,,,,,,,,,,,,
15.25,-7.332,0.232,,,,,,,,,,,,,,,,,
15.3,-7.358,0.248,,,,,,,,,,,,,,,,,
15.35,-7.386,0.264,,,,,,,,,,,,,,,,,
15.4,-7.42,0.276,,,,,,,,,,,,,,,,,
15.45,-7.455,0.286,,,,,,,,,,,,,,,,,
15.5,-7.496,0.295,,,,,,,,,,,,,,,,,
15.55,-7.534,0.298,,,,,,,,,,,,,,,,,
15.6,-7.578,0.298,,,,,,,,,,,,,,,,,
15.65,-7.615,0.295,,,,,,,,,,,,,,,,,
15.7,-7.656,0.286,,,,,,,,,,,,,,,,,
15.75,-7.691,0.276,,,,,,,,,,,,,,,,,
15.8,-7.722,0.264,,,,,,,,,,,,,,,,,
15.85,-7.753,0.248,,,,,,,,,,,,,,,,,
15.9,-7.775,0.232,,,,,,,,,,,,,,,,,
15.95,-7.794,0.22,,,,,,,,,,,,,,,,,
16,-7.81,0.207,,,,,,,,,,,,,,,,,
16.05,-7.823,0.201,,,,,,,,,,,,,,,,,
16.1,-7.835,0.195,,,,,,,,,,,,,,,,,
16.15,-7.841,0.195,,,,,,,,,,,,,,,,,
16.2,-7.854,0.195,,,,,,,,,,,,,,,,,
16.25,-7.863,0.204,,,,,,,,,,,,,,,,,
16.3,-7.876,0.214,,,,,,,,,,,,,,,,,
16.35,-7.892,0.226,,,,,,,,,,,,,,,,,
16.4,-7.911,0.242,,,,,,,,,,,,,,,,,
16.45,-7.936,0.258,,,,,,,,,,,,,,,,,
16.5,-7.964,0.27,,,,,,,,,,,,,,,,,
16.55,-7.999,0.286,,,,,,,,,,,,,,,,,
16.6,-8.033,0.295,,,,,,,,,,,,,,,,,
