"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,3.650,0.302,0.094,-0.035,0.0072,0.002,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.700,0.305,0.094,-0.070,0.0073,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.750,0.311,0.084,-0.070,0.0074,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.800,0.314,0.084,-0.035,0.0075,0.002,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.850,0.317,0.084,-0.035,0.0076,0.002,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.900,0.324,0.084,-0.105,0.0077,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.950,0.327,0.073,-0.140,0.0078,0.002,-0.003,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,4.000,0.330,0.063,-0.105,0.0079,0.001,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,4.050,0.333,0.063,-0.070,0.0079,0.001,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,4.100,0.336,0.063,-0.140,0.0080,0.001,-0.003,0.006,0.000,-0.035,1.5000E-4,0.000,-8.333E-4
,,,,,,,4.150,0.339,0.052,-0.279,0.0081,0.001,-0.007,0.006,0.000,-0.105,1.5000E-4,0.000,-0.002
,,,,,,,4.200,0.342,0.031,-0.349,0.0082,7.500E-4,-0.008,0.006,-0.010,-0.140,1.5000E-4,-2.500E-4,-0.003
,,,,,,,4.250,0.342,0.010,-0.314,0.0082,2.500E-4,-0.007,0.006,-0.021,-0.070,1.5000E-4,-5.000E-4,-0.002
,,,,,,,4.300,0.342,0.000,-0.279,0.0082,0.000,-0.007,0.003,-0.021,0.070,7.5000E-5,-5.000E-4,0.002
,,,,,,,4.350,0.342,-0.010,-0.314,0.0082,-2.500E-4,-0.007,0.003,-0.010,0.140,7.5000E-5,-2.500E-4,0.003
,,,,,,,4.400,0.342,-0.031,-0.349,0.0082,-7.500E-4,-0.008,0.003,0.000,0.105,7.5000E-5,0.000,0.002
,,,,,,,4.450,0.339,-0.052,-0.279,0.0081,-0.001,-0.007,0.003,0.000,0.035,7.5000E-5,0.000,8.333E-4
,,,,,,,4.500,0.336,-0.063,-0.140,0.0080,-0.001,-0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,4.550,0.333,-0.063,-0.035,0.0079,-0.001,-8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
