"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,7.650,-4.430,-0.995,0.803,-0.1057,-0.024,0.019,-0.016,-0.147,-1.501,-3.7500E-4,-0.003,-0.036
,,,,,,,7.700,-4.480,-0.942,1.117,-0.1069,-0.022,0.027,-0.025,-0.230,-1.361,-6.0000E-4,-0.005,-0.032
,,,,,,,7.750,-4.524,-0.880,1.361,-0.1080,-0.021,0.032,-0.038,-0.293,-1.047,-9.0000E-4,-0.007,-0.025
,,,,,,,7.800,-4.568,-0.806,1.606,-0.1090,-0.019,0.038,-0.057,-0.335,-0.663,-0.0013,-0.008,-0.016
,,,,,,,7.850,-4.606,-0.723,1.815,-0.1099,-0.017,0.043,-0.072,-0.356,-0.349,-0.0017,-0.008,-0.008
,,,,,,,7.900,-4.640,-0.618,1.920,-0.1108,-0.015,0.046,-0.091,-0.367,-0.035,-0.0022,-0.009,-8.333E-4
,,,,,,,7.950,-4.668,-0.524,1.920,-0.1114,-0.012,0.046,-0.110,-0.367,0.349,-0.0026,-0.009,0.008
,,,,,,,8.000,-4.690,-0.429,1.885,-0.1120,-0.010,0.045,-0.129,-0.335,0.768,-0.0031,-0.008,0.018
,,,,,,,8.050,-4.712,-0.335,1.815,-0.1125,-0.008,0.043,-0.145,-0.283,1.117,-0.0034,-0.007,0.027
,,,,,,,8.100,-4.725,-0.241,1.536,-0.1128,-0.006,0.037,-0.157,-0.220,1.361,-0.0037,-0.005,0.032
,,,,,,,8.150,-4.734,-0.168,1.047,-0.1130,-0.004,0.025,-0.167,-0.147,1.536,-0.0040,-0.003,0.037
,,,,,,,8.200,-4.741,-0.136,0.489,-0.1132,-0.003,0.012,-0.173,-0.063,1.641,-0.0041,-0.001,0.039
,,,,,,,8.250,-4.747,-0.126,3.442E-14,-0.1133,-0.003,1.509E-15,-0.173,0.021,1.676,-0.0041,5.000E-4,0.040
